step,value,run
1,0.0234375,earl-cpo
2,0.01806640625,earl-cpo
3,0.029296875,earl-cpo
4,0.04248046875,earl-cpo
5,0.05029296875,earl-cpo
6,0.0654296875,earl-cpo
7,0.06591796875,earl-cpo
8,0.08154296875,earl-cpo
9,0.1162109375,earl-cpo
10,0.12890625,earl-cpo
11,0.123046875,earl-cpo
12,0.13330078125,earl-cpo
13,0.17919921875,earl-cpo
14,0.18896484375,earl-cpo
15,0.201171875,earl-cpo
16,0.20458984375,earl-cpo
17,0.23388671875,earl-cpo
18,0.22607421875,earl-cpo
19,0.25732421875,earl-cpo
20,0.2353515625,earl-cpo
21,0.2529296875,earl-cpo
22,0.2646484375,earl-cpo
23,0.30224609375,earl-cpo
24,0.3115234375,earl-cpo
25,0.3134765625,earl-cpo
26,0.34619140625,earl-cpo
27,0.3330078125,earl-cpo
28,0.35986328125,earl-cpo
29,0.33544921875,earl-cpo
30,0.38232421875,earl-cpo
31,0.43115234375,earl-cpo
32,0.38671875,earl-cpo
33,0.44287109375,earl-cpo
34,0.41943359375,earl-cpo
35,0.41015625,earl-cpo
36,0.40966796875,earl-cpo
37,0.47119140625,earl-cpo
38,0.453125,earl-cpo
39,0.4462890625,earl-cpo
40,0.4287109375,earl-cpo
41,0.4443359375,earl-cpo
42,0.474609375,earl-cpo
43,0.435546875,earl-cpo
44,0.423828125,earl-cpo
45,0.4453125,earl-cpo
46,0.51025390625,earl-cpo
47,0.47900390625,earl-cpo
48,0.53125,earl-cpo
49,0.486328125,earl-cpo
50,0.4345703125,earl-cpo
51,0.58642578125,earl-cpo
52,0.5048828125,earl-cpo
53,0.529296875,earl-cpo
54,0.5068359375,earl-cpo
55,0.5234375,earl-cpo
56,0.56201171875,earl-cpo
57,0.576171875,earl-cpo
58,0.55322265625,earl-cpo
59,0.56982421875,earl-cpo
60,0.56201171875,earl-cpo
61,0.5625,earl-cpo
62,0.60595703125,earl-cpo
63,0.57373046875,earl-cpo
64,0.60595703125,earl-cpo
65,0.58251953125,earl-cpo
66,0.58349609375,earl-cpo
67,0.6123046875,earl-cpo
68,0.6220703125,earl-cpo
69,0.5751953125,earl-cpo
70,0.654296875,earl-cpo
71,0.64208984375,earl-cpo
72,0.63818359375,earl-cpo
73,0.64697265625,earl-cpo
74,0.67138671875,earl-cpo
75,0.65185546875,earl-cpo
76,0.6884765625,earl-cpo
77,0.640625,earl-cpo
78,0.6806640625,earl-cpo
79,0.6455078125,earl-cpo
80,0.64892578125,earl-cpo
81,0.71044921875,earl-cpo
82,0.67333984375,earl-cpo
83,0.66259765625,earl-cpo
84,0.669921875,earl-cpo
85,0.669921875,earl-cpo
86,0.6953125,earl-cpo
87,0.7119140625,earl-cpo
88,0.720703125,earl-cpo
89,0.662109375,earl-cpo
90,0.73876953125,earl-cpo
91,0.69775390625,earl-cpo
92,0.68798828125,earl-cpo
93,0.71728515625,earl-cpo
94,0.75341796875,earl-cpo
95,0.73291015625,earl-cpo
96,0.689453125,earl-cpo
97,0.75634765625,earl-cpo
98,0.68701171875,earl-cpo
99,0.75244140625,earl-cpo
100,0.75048828125,earl-cpo
101,0.75830078125,earl-cpo
102,0.72509765625,earl-cpo
103,0.73779296875,earl-cpo
104,0.7451171875,earl-cpo
105,0.7197265625,earl-cpo
106,0.78662109375,earl-cpo
107,0.73779296875,earl-cpo
108,0.7509765625,earl-cpo
109,0.76025390625,earl-cpo
110,0.72412109375,earl-cpo
111,0.73779296875,earl-cpo
112,0.712890625,earl-cpo
113,0.7578125,earl-cpo
114,0.71630859375,earl-cpo
115,0.68798828125,earl-cpo
116,0.73486328125,earl-cpo
117,0.70849609375,earl-cpo
118,0.68359375,earl-cpo
119,0.7587890625,earl-cpo
120,0.7646484375,earl-cpo
121,0.76318359375,earl-cpo
122,0.72216796875,earl-cpo
123,0.798828125,earl-cpo
124,0.763671875,earl-cpo
125,0.7763671875,earl-cpo
126,0.755859375,earl-cpo
127,0.77734375,earl-cpo
128,0.7646484375,earl-cpo
129,0.810546875,earl-cpo
130,0.77734375,earl-cpo
131,0.779296875,earl-cpo
132,0.791015625,earl-cpo
133,0.7744140625,earl-cpo
134,0.74560546875,earl-cpo
135,0.751953125,earl-cpo
136,0.78125,earl-cpo
137,0.7490234375,earl-cpo
138,0.78076171875,earl-cpo
139,0.75048828125,earl-cpo
140,0.806640625,earl-cpo
141,0.77685546875,earl-cpo
142,0.82373046875,earl-cpo
143,0.7900390625,earl-cpo
144,0.79345703125,earl-cpo
145,0.7802734375,earl-cpo
146,0.76953125,earl-cpo
147,0.75927734375,earl-cpo
148,0.79296875,earl-cpo
149,0.79248046875,earl-cpo
150,0.798828125,earl-cpo
151,0.80712890625,earl-cpo
152,0.7734375,earl-cpo
153,0.79052734375,earl-cpo
154,0.80126953125,earl-cpo
1,0.0234375,earl-grpo
2,0.0224609375,earl-grpo
3,0.02783203125,earl-grpo
4,0.03369140625,earl-grpo
5,0.04736328125,earl-grpo
6,0.048828125,earl-grpo
7,0.05322265625,earl-grpo
8,0.05810546875,earl-grpo
9,0.07373046875,earl-grpo
10,0.0830078125,earl-grpo
11,0.08642578125,earl-grpo
12,0.1025390625,earl-grpo
13,0.1162109375,earl-grpo
14,0.12109375,earl-grpo
15,0.1513671875,earl-grpo
16,0.14453125,earl-grpo
17,0.16015625,earl-grpo
18,0.16552734375,earl-grpo
19,0.193359375,earl-grpo
20,0.1650390625,earl-grpo
21,0.19921875,earl-grpo
22,0.21337890625,earl-grpo
23,0.21923828125,earl-grpo
24,0.24658203125,earl-grpo
25,0.2412109375,earl-grpo
26,0.2958984375,earl-grpo
27,0.2578125,earl-grpo
28,0.296875,earl-grpo
29,0.275390625,earl-grpo
30,0.29736328125,earl-grpo
31,0.353515625,earl-grpo
32,0.3466796875,earl-grpo
33,0.349609375,earl-grpo
34,0.384765625,earl-grpo
35,0.3837890625,earl-grpo
36,0.36767578125,earl-grpo
37,0.41455078125,earl-grpo
38,0.38330078125,earl-grpo
39,0.4013671875,earl-grpo
40,0.38330078125,earl-grpo
41,0.37939453125,earl-grpo
42,0.41259765625,earl-grpo
43,0.373046875,earl-grpo
44,0.39404296875,earl-grpo
45,0.40869140625,earl-grpo
46,0.44970703125,earl-grpo
47,0.4169921875,earl-grpo
48,0.47607421875,earl-grpo
49,0.4306640625,earl-grpo
50,0.3876953125,earl-grpo
51,0.51611328125,earl-grpo
52,0.4599609375,earl-grpo
53,0.49658203125,earl-grpo
54,0.44384765625,earl-grpo
55,0.48291015625,earl-grpo
56,0.513671875,earl-grpo
57,0.53271484375,earl-grpo
58,0.501953125,earl-grpo
59,0.5185546875,earl-grpo
60,0.513671875,earl-grpo
61,0.5380859375,earl-grpo
62,0.55078125,earl-grpo
63,0.54638671875,earl-grpo
64,0.56689453125,earl-grpo
65,0.5244140625,earl-grpo
66,0.51904296875,earl-grpo
67,0.5673828125,earl-grpo
68,0.56982421875,earl-grpo
69,0.52734375,earl-grpo
70,0.58056640625,earl-grpo
71,0.57861328125,earl-grpo
72,0.59228515625,earl-grpo
73,0.5732421875,earl-grpo
74,0.58056640625,earl-grpo
75,0.595703125,earl-grpo
76,0.6123046875,earl-grpo
77,0.59375,earl-grpo
78,0.623046875,earl-grpo
79,0.5712890625,earl-grpo
80,0.60498046875,earl-grpo
81,0.64697265625,earl-grpo
82,0.6044921875,earl-grpo
83,0.60595703125,earl-grpo
84,0.62060546875,earl-grpo
85,0.60498046875,earl-grpo
86,0.62451171875,earl-grpo
87,0.6328125,earl-grpo
88,0.6513671875,earl-grpo
89,0.60986328125,earl-grpo
90,0.6845703125,earl-grpo
91,0.6328125,earl-grpo
92,0.64794921875,earl-grpo
93,0.63134765625,earl-grpo
94,0.64990234375,earl-grpo
95,0.6279296875,earl-grpo
96,0.6220703125,earl-grpo
97,0.677734375,earl-grpo
98,0.61181640625,earl-grpo
99,0.685546875,earl-grpo
100,0.67822265625,earl-grpo
101,0.68896484375,earl-grpo
102,0.65625,earl-grpo
103,0.6845703125,earl-grpo
104,0.68408203125,earl-grpo
105,0.65966796875,earl-grpo
106,0.7119140625,earl-grpo
107,0.6884765625,earl-grpo
108,0.70556640625,earl-grpo
109,0.6923828125,earl-grpo
110,0.67578125,earl-grpo
111,0.6884765625,earl-grpo
112,0.67919921875,earl-grpo
113,0.68798828125,earl-grpo
114,0.68310546875,earl-grpo
115,0.6396484375,earl-grpo
116,0.7197265625,earl-grpo
117,0.6611328125,earl-grpo
118,0.66064453125,earl-grpo
119,0.72412109375,earl-grpo
120,0.7080078125,earl-grpo
121,0.716796875,earl-grpo
122,0.66015625,earl-grpo
123,0.73486328125,earl-grpo
124,0.728515625,earl-grpo
125,0.71630859375,earl-grpo
126,0.7119140625,earl-grpo
127,0.72216796875,earl-grpo
128,0.71923828125,earl-grpo
129,0.74072265625,earl-grpo
130,0.7255859375,earl-grpo
131,0.720703125,earl-grpo
132,0.73291015625,earl-grpo
133,0.7001953125,earl-grpo
134,0.68408203125,earl-grpo
135,0.7138671875,earl-grpo
136,0.73486328125,earl-grpo
137,0.7216796875,earl-grpo
138,0.7412109375,earl-grpo
139,0.70654296875,earl-grpo
140,0.7451171875,earl-grpo
141,0.71337890625,earl-grpo
142,0.76904296875,earl-grpo
143,0.73681640625,earl-grpo
144,0.751953125,earl-grpo
145,0.75732421875,earl-grpo
146,0.740234375,earl-grpo
147,0.72119140625,earl-grpo
148,0.74365234375,earl-grpo
149,0.75537109375,earl-grpo
150,0.759765625,earl-grpo
151,0.783203125,earl-grpo
152,0.74267578125,earl-grpo
153,0.74755859375,earl-grpo
154,0.767578125,earl-grpo
155,0.75732421875,earl-grpo
156,0.77490234375,earl-grpo
157,0.78564453125,earl-grpo
158,0.76220703125,earl-grpo
159,0.78076171875,earl-grpo
160,0.75244140625,earl-grpo
161,0.7548828125,earl-grpo
162,0.75390625,earl-grpo
163,0.77099609375,earl-grpo
164,0.77197265625,earl-grpo
165,0.76416015625,earl-grpo
166,0.79248046875,earl-grpo
167,0.74853515625,earl-grpo
168,0.79150390625,earl-grpo
169,0.7626953125,earl-grpo
170,0.810546875,earl-grpo
171,0.7919921875,earl-grpo
172,0.78173828125,earl-grpo
173,0.7998046875,earl-grpo
174,0.7685546875,earl-grpo
175,0.81689453125,earl-grpo
176,0.71630859375,earl-grpo
177,0.759765625,earl-grpo
178,0.7763671875,earl-grpo
179,0.7900390625,earl-grpo
180,0.7919921875,earl-grpo
181,0.7861328125,earl-grpo
182,0.7890625,earl-grpo
183,0.79296875,earl-grpo
184,0.77294921875,earl-grpo
185,0.73974609375,earl-grpo
186,0.78515625,earl-grpo
187,0.78369140625,earl-grpo
188,0.8134765625,earl-grpo
189,0.81982421875,earl-grpo
190,0.78173828125,earl-grpo
191,0.73681640625,earl-grpo
192,0.7861328125,earl-grpo
193,0.78125,earl-grpo
194,0.814453125,earl-grpo
195,0.7939453125,earl-grpo
196,0.8076171875,earl-grpo
197,0.7900390625,earl-grpo
198,0.77392578125,earl-grpo
199,0.7919921875,earl-grpo
200,0.7705078125,earl-grpo
201,0.79541015625,earl-grpo
202,0.7705078125,earl-grpo
203,0.796875,earl-grpo
204,0.806640625,earl-grpo
205,0.8330078125,earl-grpo
206,0.79736328125,earl-grpo
